매입품목명,라인수,금액,items후보(참고),최종지정코드(빈칸=기타)
채널용 입체바 [진청색/80mm*3m],1,288000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
채널용 입체바 [황색/80mm*3m],2,288000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
스텐원형돌출 [500Φ],2,285000,SGM-SRND-D500:스텐원형돌출 500Φ / SGM-SRND-D600:스텐원형돌출 600Φ,
부직포 [180폭],2,282000,BUJIK-060:부직포 / BUJIK-090:부직포,
LM5400(보급형) [137폭],1,279830,,
E4 엠보 무광(45m/200g) [90폭],1,273000,JG-E4-P60:E4 엠보 무광(45m/200 / JG-E4-P90:E4 엠보 무광(45m/200,
윈드배너 물통형-SET(소) [76*180],3,266000,ACC-016:윈드배너 부품(크로스/베이스) / ACC-017:윈드배너 물통SET,
미러천 [90폭],1,262500,,
E4 엠보 무광(45m/200g) [152폭],1,259600,JG-E4-P60:E4 엠보 무광(45m/200 / JG-E4-P90:E4 엠보 무광(45m/200,
부직포 [150폭],2,257400,BUJIK-060:부직포 / BUJIK-090:부직포,
부직포-S [60폭],2,255000,BUJIK-060:부직포 / BUJIK-090:부직포,
저밀도 현수막-S [40폭],1,255000,RM-I0011:현수막 잉크-C / RM-I0012:현수막 잉크-M,
채널용 캡바 [진청색/25mm*3m],3,246000,SGM-KPB-BK:캡바 흑색 / SGM-KPB-WH:캡바 백색,
무광코팅지 일반엠보(45m/180g) [90폭],1,243000,SPP031M-090:무광코팅지 SPP031M / SPP031M-105:무광코팅지 SPP031M,
카바 [검정],1,232000,,
원형족자봉 [16Ø],1,231000,ACC-049-SQ:족자봉 사각 85~150cm / ACC-049-CR:족자봉 원형 85~150cm,
용달운임,2,220000,,
3.5mm재단로프 [1마대800개/총200m],2,210000,ACC-038:재단로프,
포맥스-중국산 [4*8(10T)],1,210000,FMX-2T-W-36:포맥스 / FMX-2T-W-48:포맥스,
블랙아웃 패트 [127],1,194000,,
채널용 입체바 [밤색/80mm*3m],2,192000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
채널용 입체바 [연청색/80mm*3m],1,192000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
채널용 입체바 [진핑크/80mm*3m],1,192000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
채널용 입체바 [진회색/80mm*3m],1,192000,SGM-IPB-BK:입체바 흑색 / SGM-IPB-WH:입체바 백색,
아일렛(하도매) 1마대 [24호/은색],1,183000,ACC-045-5-S:아일렛 5호 은 / ACC-045-5-G:아일렛 5호 금,
상코너,3,180000,SGM-SC:상코너,
싸인탑날개 [1box-200ea],3,180000,SGM-STW:싸인탑날개,
실내용 철제배너-TS [50*150],1,176000,,
까치발 [900mm],1,172800,ACC-029-BK:까치발 흑색 / ACC-029-WH:까치발 백색,
채널용 캡바 [주황색/25mm*3m],2,164000,SGM-KPB-BK:캡바 흑색 / SGM-KPB-WH:캡바 백색,
양면코팅지(30m) [127폭],1,162000,JG-A26-P90:A26 양면코팅지(30m) 9 / JG-A26-P127:A26 양면코팅지(30m) 1,
