매입품목명,라인수,금액,상태,제안코드,최종지정코드
PVC(켈)-프라임 [90폭],1,234000,미매칭,,,
카바 [검정],1,232000,미매칭,,,
원형족자봉 [16Ø],1,231000,미매칭,,,
용달운임,2,220000,미매칭,,,
3.5mm재단로프 [1마대800개/총200m],2,210000,미매칭,,,
포맥스-중국산 [4*8(10T)],1,210000,미매칭,,,
합성지(30m)-호홍 [152폭],1,204000,미매칭,,,
수성잉크 K [5L],2,200000,후보(잉크→RM),RM,,
합성지-프라임 [60폭],1,195000,미매칭,,,
블랙아웃 패트 [127],1,194000,미매칭,,,
채널용 입체바 [밤색/80mm*3m],2,192000,미매칭,,,
채널용 입체바 [연청색/80mm*3m],1,192000,미매칭,,,
채널용 입체바 [진핑크/80mm*3m],1,192000,미매칭,,,
채널용 입체바 [진회색/80mm*3m],1,192000,미매칭,,,
아일렛(하도매) 1마대 [24호/은색],1,183000,미매칭,,,
상코너,3,180000,미매칭,,,
싸인탑날개 [1box-200ea],3,180000,미매칭,,,
솔벤 현수막-TPM(S150 고급형) [152폭],1,178800,후보(솔벤→SV),SV,,
실내용 철제배너-TS [50*150],1,176000,미매칭,,,
까치발 [900mm],1,172800,미매칭,,,
채널용 캡바 [주황색/25mm*3m],2,164000,미매칭,,,
양면코팅지(30m) [127폭],1,162000,미매칭,,,
솔벤 캠퍼스 [127폭/20m],1,158000,후보(솔벤→SV),SV,,
LED투광기-검정색/백색 [35W],1,157500,미매칭,,,
LED투광기-백색/웜 [35W],1,157500,미매칭,,,
합성지 그레이-프라임 [127폭],1,154000,미매칭,,,
솔벤 현수막-TPM [80폭],1,153000,후보(솔벤→SV),SV,,
스카시20T-검정 [3*6],2,149500,미매칭,,,
발통 [500mm],1,148680,미매칭,,,
합성지(30m)-호홍 [60폭],1,145620,미매칭,,,
LED형광등 [28w-양면(60cm)],1,145000,미매칭,,,
스카시10T-검정 [3*6],2,142090,미매칭,,,
아일렛(하도매) [9호/은색],3,142000,미매칭,,,
까치발 [1200mm],1,140100,미매칭,,,
족자봉 쫄대 [5mm],1,140000,미매칭,,,
포인트원형돌출 [600Φ],1,136500,미매칭,,,
트러스바 [150mm*7m/연회색],1,126800,미매칭,,,
까치발 [1000mm],2,123900,미매칭,,,
패트배너-프라임 [90폭],1,122000,미매칭,,,
PVC(켈)(30m)-호홍 [60폭],1,117720,미매칭,,,
C4 엠보UV 무광(200g) [127폭],1,116600,미매칭,,,
수성잉크 C(개별박스),1,115200,후보(잉크→RM),RM,,
수성잉크 LM(개별박스),1,115200,후보(잉크→RM),RM,,
수성잉크 M(개별박스),1,115200,후보(잉크→RM),RM,,
솔벤 현수막-TPM [110폭],1,113400,후보(솔벤→SV),SV,,
양면 테이프(판형) [1T],1,113000,미매칭,,,
실리콘 [백색],2,112500,미매칭,,,
고무자석시트-차량용(0.8T) [100폭/10m],1,110000,미매칭,,,
스카시10T-백색 [3*6],2,109300,미매칭,,,
까치발 [800mm],1,108000,미매칭,,,
수성잉크 LC,1,108000,후보(잉크→RM),RM,,
수성잉크 LM,1,108000,후보(잉크→RM),RM,,
후판 [90cm],1,108000,미매칭,,,
후판 [170cm],1,106250,미매칭,,,
패트배너(30m)-호홍 [90폭],1,105600,미매칭,,,
유광코팅지 일반(45m/180g) [127폭],1,105000,미매칭,,,
채널 지지대,1,105000,미매칭,,,
