품목코드,품목명,카테고리,유형,방식,단위,활성,판매이력라인,원가(avg_unit_cost),참조마진,마진출처,마진IQR,제안가(원가×마진 100원반올림)
UV-JJN-15T,UV 자작나무 15t,UV,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-JJN-18T,UV 자작나무 18t,UV,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-MESH,UV 매쉬,UV,PRODUCT,AREA,EA,,1,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-PATC,UV 투명패트,UV,PRODUCT,AREA,EA,,3,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-PC-1.8T-M,UV 광확산PC 1.8T 유백,UV,PRODUCT,AREA,EA,,0,33500,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-PC-3T-M,UV 광확산PC 3T 유백,UV,PRODUCT,AREA,EA,,8,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-PC-4.5T-M,UV 광확산PC 4.5T 유백,UV,PRODUCT,AREA,EA,,2,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-PDK-F,UV 뽀닥 호일형,UV,PRODUCT,AREA,EA,,4,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-PDK-J,UV 뽀닥 직물형,UV,PRODUCT,AREA,EA,,10,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-PRM-Y,UV 고휘도반사 노랑,UV,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-SKS-10T-B,UV 스카시 10T 검정,UV,PRODUCT,AREA,EA,,8,10930,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-SKS-10T-W,UV 스카시 10T 백색,UV,PRODUCT,AREA,EA,,4,10930,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-SKS-20T-B,UV 스카시 20T 검정,UV,PRODUCT,AREA,EA,,25,14950,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-SKS-20T-W,UV 스카시 20T 백색,UV,PRODUCT,AREA,EA,,3,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-SKS-30T-B,UV 스카시 30T 검정,UV,PRODUCT,AREA,EA,,3,20130,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-SKS-30T-W,UV 스카시 30T 백색,UV,PRODUCT,AREA,EA,,11,20130,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-SKS-50T-W,UV 스카시 50T 백색,UV,PRODUCT,FIXED,EA,,0,0,,원가 없음(매입이력 0),,
UV-TENT,UV 텐트천,UV,PRODUCT,AREA,EA,,2,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
UV-WRAP,UV 랩핑시트,UV,PRODUCT,AREA,EA,,0,0,,AREA=㎡단가표 대상(원가 단위 부정합),,
WDR-25-090,원형나무 25mm 90폭,원자재,MATERIAL,FIXED,EA,,5,0,,원가 없음(매입이력 0),,
WDS-01,각목,원자재,MATERIAL,FIXED,EA,비활성,0,0,,원가 없음(매입이력 0),,
