품목명	규격	라인수	수량	공급가액	내용(예시)	★적용코드	★적용품목명	출처	근거	기계후보	기계후보명	점수	수정(기입)
포맥스3T	4*8(3T)	1	2	56000		UV-FMX-3T-W	UV 포맥스 3T 백색	용준님 확정	용준님②: 포맥스 인쇄·재단 제품 — 두께별 (3T/W)	UV-FMX-3T-W	UV 포맥스 3T 백색	0.447	
스카시10T(백알_흑)		1	1	54000	계룡그린콘드			보류	기계 후보 약함 (점수 0.462)	UV-SKS-10T-W	UV 스카시 10T 백색	0.462	
포맥스5T+포켓	740x430mm	1	1	50000	아라미요양원	UV-FMX-5T-W	UV 포맥스 5T 백색	용준님 확정	용준님②: 포맥스 인쇄·재단 제품 — 두께별 (5T/W)				
포맥스3T	3*6(3T)	1	3	48000		UV-FMX-3T-W	UV 포맥스 3T 백색	용준님 확정	용준님②: 포맥스 인쇄·재단 제품 — 두께별 (3T/W)	UV-FMX-3T-W	UV 포맥스 3T 백색	0.447	
까치발	1260mm	1	5	47500				보류	기계 후보 약함 (점수 0.409)	SK-1464	까치발-900	0.409	
까치발	1400mm	2	5	45000	20일 선배송			보류	기계 후보 약함 (점수 0.409)	SK-1464	까치발-900	0.409	
사각족자봉 마개	그레이	2	596	42680		ACC-JJ-CAP-CR	사각족자봉 마개 크롬	자동(고신뢰)	기계 후보 (점수 0.693 · C2:사각족자봉/마개+C3:0.86)	ACC-JJ-CAP-CR	사각족자봉 마개 크롬	0.693	
실내용 철제배너-TS	60*180	1	1	42000	스프링배너	ACC-028	실내 철제배너 거치대(TS/SD-T)	자동(고신뢰)	기계 후보 (점수 0.54 · C2:철제배너/TS+C3:0.48)	ACC-028	실내 철제배너 거치대(TS/SD-T)	0.54	
솔벤시트+돔보	2130x1210mm	1	1	41000	태양당약국			보류	후보 없음				
알마이트2T 재단	2595x695mm	1	1	40000				보류	기계 후보 약함 (점수 0.466)	ALM-2T-WH-48	알마이트 2T 백색	0.466	
포맥스5T(평판인쇄)	1090x920mm	1	1	36500	태양당약국	UV-FMX-5T-W	UV 포맥스 5T 백색	용준님 확정	용준님③: 포맥스 평판인쇄로 매칭	UV-FMX-5T-W	UV 포맥스 5T 백색	0.38	
LG조명컷팅(검정)	1220mm	1	1	34000				보류	후보 없음				
솔벤시트+돔보	1560x1210mm	1	1	30000	태양당약국			보류	후보 없음				
까치발	1100mm	2	4	30000				보류	기계 후보 약함 (점수 0.409)	SK-1464	까치발-900	0.409	
RGB컨트롤러(단채널)		1	1	30000				보류	후보 없음				
까치발	1500mm	1	3	28500				보류	기계 후보 약함 (점수 0.409)	SK-1464	까치발-900	0.409	
아크릴 5T 레이져		1	1	25000	공주떡집	UV-ACR-5T-W	UV 아크릴 5T 백색	자동(고신뢰)	기계 후보 (점수 0.563 · C2:아크릴/5T+C3:0.53)	UV-ACR-5T-W	UV 아크릴 5T 백색	0.563	
포맥스 2T(검정)		1	1	25000		UV-FMX-2T-B	UV 포맥스 2T 검정	용준님 확정	용준님②: 포맥스 인쇄·재단 제품 — 두께별 (2T/B)	UV-FMX-2T-B	UV 포맥스 2T 검정	0.693	
경관봉(라운드)		1	1	21000		SK-2612	라운드경관봉40mm마구리	자동(고신뢰)	기계 후보 (점수 0.538 · C2:경관봉/라운드+C3:0.47)	SK-2612	라운드경관봉40mm마구리	0.538	
아크릴 3T(검정)		1	1	20000	아라미요양원	UV-ACR-3T-B	UV 아크릴 3T 검정	자동(고신뢰)	기계 후보 (점수 0.693 · C2:아크릴/3T+C3:0.86)	UV-ACR-3T-B	UV 아크릴 3T 검정	0.693	
투명아크릴 5T	70mm	1	20	20000	원형			보류	기계 후보 약함 (점수 0.466)	UV-ACR-5T-C	UV 아크릴 5T 투명	0.466	
투명아크릴3T+배면	500x230mm	1	1	15000	향토음식지정업소			보류	후보 없음				
까치발	1000mm	3	2	14000	반품			보류	기계 후보 약함 (점수 0.409)	SK-1464	까치발-900	0.409	
족자봉 연결대		1	6	12000				보류	기계 후보 약함 (점수 0.358)	ACC-JJ-HOOK	족자봉 고리	0.358	
아크릴5T+배면인쇄	236x92mm	1	1	10000	비전세미콘			보류	후보 없음				
후렉스(시트용)		1	1	10000				보류	기계 후보 약함 (점수 0.34)	FLEXL-320	조명용 후렉스	0.34	
까치발	200mm	1	2	10000				보류	기계 후보 약함 (점수 0.409)	SK-1464	까치발-900	0.409	
비조명 후레임(카바재단)		1	1	0	인천뮤지엄파크(보수)-서비스			보류	기계 후보 약함 (점수 0.33)	UV-FLEXN	UV 비조명후렉스	0.33	
현수막 2코팅-J	30폭	1	260	0	130yd*2(서비스)	AQ2-030	수성 현수막원단 2코팅	자동(고신뢰)	기계 후보 (점수 0.913 · C1폭+C2:현수막/2코팅+C3:0.53)	AQ2-030	수성 현수막원단 2코팅	0.913	
기타	170cm	1	1	0	현수막 받침대(서비스)			보류	기계 후보 약함 (점수 0.38)	ACC-034	깃대(기타)	0.38	
대신화물		1	1	0				보류	후보 없음				
방문	켈	1	1	-1000				보류	후보 없음				
기타 켈 방문		1	2	-2000				보류	기계 후보 약함 (점수 0.294)	ACC-034	깃대(기타)	0.294	
기타		1	-1	-6000	호홍 코팅지 과입금			보류	기계 후보 약함 (점수 0.38)	ACC-034	깃대(기타)	0.38	
기타 잉크 박스		1	36	-10800				보류	후보 없음				
절삭		1	-1	-14415				보류	후보 없음				
LED투광기-검정색/백색	35W	1	-1	-25000		SGM-LEDP-BW	LED투광기 검정/백색	자동(고신뢰)	기계 후보 (점수 0.687 · C2:LED투광기/백색+C3:0.84)	SGM-LEDP-BW	LED투광기 검정/백색	0.687	
현수막 1코팅-S(4월달반품)	70폭	1	-130	-46800	원단불량	AQ1-070	수성 현수막원단 1코팅	자동(고신뢰)	기계 후보 (점수 0.86 · C1폭+C2:현수막/1코팅+C3:0.40)	AQ1-070	수성 현수막원단 1코팅	0.86	
