품목코드	품목명	규격	폭mm	단위	매입수량	매입액	발주건	최근발주	공급처	용도(기입)
SGM-TRB-R150-LG	트러스바 150mm 연회색	150mm		EA	4	236800	2	2026-06-12	(주)엘이디포유	
SK-554	평까치발검정-200mm			EA	90	234000	2	2026-03-16	(주)서울경금속	
SGM-SMPS-W100	외부용 SMPS(방수) 100wt	방수		EA	20	228000	1	2026-04-10	(주)엘이디포유	
SGM-SRND-D500	스텐원형돌출 500Φ			EA	4	228000	2	2026-06-05	(주)엘이디포유	
SK-26806	예스후렉스-(그레이비조명용)260폭-50M			EA	1	227500	1	2026-06-15	(주)서울경금속	
SK-2145	평면경관봉100mm몸통3M			EA	10	226900	1	2026-01-22	(주)서울경금속	
SK-27102	예스-고무자석롤-0.8T1020폭*10M			EA	2	225000	2	2026-06-01	(주)서울경금속	
SK-1239	전45도			EA	3000	225000	3	2026-06-08	(주)서울경금속	
SK-928	LG시트-LT4056(122폭)			EA	1	210600	1	2026-06-02	(주)서울경금속	
SK-927	LG시트-LT4055(122폭)			EA	1	210600	1	2026-05-26	(주)서울경금속	
SK-2824	예스포맥스10T4*8백색			EA	6	210000	1	2026-06-02	(주)서울경금속	
SK-26800	예스후렉스-(그레이비조명용)130폭-50M			EA	2	208000	1	2026-03-23	(주)서울경금속	
LX-LC6770P	LX시트 외부용 LC6770P 양면PE	1220폭 롤50M		롤	1	199500	1	2026-06-05	(주)엘이디포유	
LX-LT4510	LX시트 조명용 LT4510	1220폭 롤50M		롤	1	196100	1	2026-03-04	(주)엘이디포유	
SK-938	LG시트-LT4081(122폭)			EA	1	196100	1	2026-04-16	(주)서울경금속	
SK-26944	LG시트-LT402D(122폭)			EA	1	196100	1	2026-04-06	(주)서울경금속	
SK-930	LG시트-LT4058(122폭)			EA	1	196100	1	2026-03-17	(주)서울경금속	
SK-26946	LG시트-LT403D(122폭)			EA	1	196100	1	2026-02-09	(주)서울경금속	
SK-1454	LG시트-LT4027(122폭)			EA	1	196100	1	2026-01-28	(주)서울경금속	
SK-917	LG시트-LT4042(122폭)			EA	1	196100	1	2026-01-13	(주)서울경금속	
SK-903	LG시트-LT4021(122폭)			EA	1	196100	1	2026-01-13	(주)서울경금속	
SK-973	삼성타이머50A			EA	5	195000	1	2026-03-16	(주)서울경금속	
SGM-IPB-DG	입체바 진회색	80mm*3m		EA	40	192000	1	2026-06-05	(주)엘이디포유	
SGM-IPB-LB	입체바 연청색	80mm*3m		EA	40	192000	1	2026-06-05	(주)엘이디포유	
SK-251	스카시20T3*6검정			EA	14	191750	3	2026-06-01	(주)서울경금속	
SGM-CSP	채널 지지대	72mm		EA	1000	190000	2	2026-06-05	(주)엘이디포유	
SGM-SPRAY-5L	분무기 5L	5L		EA	6	189000	1	2026-03-03	(주)엘이디포유	
SGM-PPIPE-PW	투광기 파이프 백색	ㅡ자형 700mm		EA	90	186000	2	2026-06-19	(주)엘이디포유	
SK-1358	까치발-1000			EA	45	185850	3	2026-06-08	(주)서울경금속	
SK-2607	라운드경관봉40mmPC커버3M			EA	60	180000	1	2026-01-22	(주)서울경금속	
SGM-KIV-K40	KIV 전선 4.0sq	검정		EA	2	178000	1	2026-04-17	(주)엘이디포유	
SK-414	돼지표본드3kg			EA	7	176900	3	2026-06-08	(주)서울경금속	
SK-26798	예스후렉스-(그레이비조명용)110폭-50M			EA	2	176000	1	2026-03-30	(주)서울경금속	
SGM-PRND-D500	포인트원형돌출 500Φ			EA	4	176000	1	2026-06-19	(주)엘이디포유	
SK-26804	예스후렉스-(그레이비조명용)200폭-50M			EA	1	175000	1	2026-06-15	(주)서울경금속	
SGM-IPB-LG	입체바 연회색	80mm*3m		EA	40	170000	2	2026-06-05	(주)엘이디포유	
SK-2273	포마트포맥스5T3*6백색			EA	10	163300	1	2026-04-20	(주)서울경금속	
SGM-KPB-DP	캡바 진핑크	25mm*3m		EA	80	162000	2	2026-06-01	(주)엘이디포유	
SGM-KPB-RD	캡바 적색	25mm*3m		EA	80	162000	2	2026-06-05	(주)엘이디포유	
SGM-KPB-YL	캡바 황색	25mm*3m		EA	80	162000	2	2026-06-12	(주)엘이디포유	
SK-2820	예스포맥스2T4*8백색			EA	20	160800	1	2026-04-13	(주)서울경금속	
SK-26797	예스후렉스-(그레이비조명용)100폭-50M			EA	2	160000	1	2026-03-23	(주)서울경금속	
SK-1293	까치발-400			EA	60	159600	2	2026-03-03	(주)서울경금속	
SK-630	간판용후판1.3M(50M)			EA	2	159250	2	2026-06-29	(주)서울경금속	
SK-2476	포마트포맥스2T3*6검정			EA	20	158800	1	2026-05-26	(주)서울경금속	
SGM-LEDP-BW	LED투광기 검정/백색	35W		EA	15	157500	1	2026-06-19	(주)엘이디포유	
