성격	품목명	규격	이카운트코드	라인수	수량	공급가액	내용(예시)	MES품목코드(기입)
시공·출력	비조명 후레임간판	900x1200mm	0-0-0005	1	2	90000	충남공주대 전기공사현장 표지	
시공·출력	현수막 출력	254*254	G002	2	3	88500	갑사마루	
시공·출력	UV후렉스 출력	8600x1000mm	G013	1	1	86000	봉오동순댓국	
자재·상품	아크릴 3T(백색)		J003	2	3	85000	아라미요양원	
시공·출력	현수막 출력	360*640	G002	1	1	85000	해뜨는서산	
시공·출력	아크릴 3T+LT4045컷팅부착		J003	1	1	85000	스타벅스	
시공·출력	현수막 출력	600*80	G002	1	14	84000	부여군 청소년 상담복지센터	
자재·상품	아일렛(하도매)	24호/금색	D403-1	2	4	80500		
자재·상품	스카시20T		0-0-0065	1	1	80000	덕은통상	
자재·상품	스카시20T+실사		0-0-0065	1	1	80000	노랑통닭(천안신불당점)	
시공·출력	전사출력	80*250	G012	1	6	78000	지천댐 절대반대	
자재·상품	아일렛(하도매)	24호/은색	D403	3	4	76000	하도매알	
시공·출력	UV후렉스 출력	730*61	G013	1	1	73000	그레이) 부여군청 비전간판	
자재·상품	포인트사각돌출	55cm	0-0-0126	1	1	70000		
시공·출력	현수막 출력	710*90	G002	2	6	68500	게시대) 서산부춘 중학교	
시공·출력	LED 3구(KPL)웜-조립	0.72w	0-0-0013	1	97	67900		
자재·상품	PVC(켈)(30m)-호홍	90폭	B011	1	1	67000		
시공·출력	UV그레이후렉스 출력	4900x1340mm	G013	1	1	66000	한마음정육식당	
자재·상품	아크릴 5T(검정)		J005	1	1	65000	제이다락방	
시공·출력	솔벤출력	132*282	G016	1	1	63500	랩핑시트) 서부농협충화지점	
자재·상품	경관봉(라운드)	40mm	0-0-0123	1	3	63000		
시공·출력	현수막 출력	576*300	G002	1	1	60500	고추시장	
시공·출력	패트배너-출력	60*180	G001	2	5	60000	달란트잔치	
시공·출력	UV양면후렉스 출력	800x2000mm	G013	1	2	60000	게판오분전	
시공·출력	UV후렉스 출력	1600x3800mm	G013	1	1	60000	본전고깃골	
시공·출력	UV후렉스 출력	800x3000mm	G013	1	2	60000	정수산 활어회센터	
시공·출력	현수막 출력	560*230	G002	1	1	58000	갑사마루	
시공·출력	LED 3구(KPL)백색-조립	0.72w	0-0-0013	1	88	57200		
시공·출력	솔벤출력	117*282	G016	1	1	56500	랩핑시트) 서부농협충화지점	
자재·상품	까치발	900mm	0-0-0041	2	8	56000		
자재·상품	포맥스3T	4*8(3T)	D601	1	2	56000		
시공·출력	UV후렉스 출력	5500x1000mm	G013	1	1	55000	정수산 활어회센터	
자재·상품	스카시10T(백알_흑)		0-0-0064	1	1	54000	계룡그린콘드	
시공·출력	솔벤출력	112*182	G016	1	2	53000	시트)서부농협충화지점	
시공·출력	현수막 출력	578*40	G002	1	3	51000	부스현수막	
자재·상품	포맥스5T+포켓	740x430mm	D602	1	1	50000	아라미요양원	
시공·출력	조명용 후레임간판	1100x450mm	0-0-0006	1	1	50000	뉴스노래궁	
자재·상품	포맥스3T	3*6(3T)	D609	1	3	48000		
시공·출력	솔벤출력	85*280	G016	1	1	48000	랩핑시트) 서부여농협화지점	
자재·상품	까치발	1260mm	0-0-0044	1	5	47500		
자재·상품	까치발	1400mm	0-0-0046	2	5	45000	20일 선배송	
시공·출력	UV후렉스 출력	3720x1220mm	G013	1	1	45000	봉오동순댓국	
자재·상품	사각족자봉 마개	그레이	D308	2	596	42680		
자재·상품	실내용 철제배너-TS	60*180	D101	1	1	42000	스프링배너	
자재·상품	솔벤시트+돔보	2130x1210mm	0-0-0019	1	1	41000	태양당약국	
시공·출력	현수막 출력	180*140	G002	1	2	41000	특별강의	
자재·상품	알마이트2T 재단	2595x695mm	0-0-0059	1	1	40000		
시공·출력	솔벤타공시트(부착)		0-0-0020	1	1	40000		
시공·출력	채널간판+조명실사부착		0-0-0004	1	1	40000	한강라면(일리로고)	
시공·출력	조도향상시트(부착)	1220mm	0-0-0018	1	1	40000		
시공·출력	LED 3구(백색)-UPL(조립)	1w	0-0-0011	1	77	36960		
자재·상품	포맥스5T(평판인쇄)	1090x920mm	G008	1	1	36500	태양당약국	
시공·출력	UV후렉스 출력	3000x1200mm	G013	1	1	36000	노랑통닭(천안신불당점)	
시공·출력	LED 3구(KPL)-조립	0.72w	0-0-0013	1	76	34200		
자재·상품	LG조명컷팅(검정)	1220mm	0-0-0017	1	1	34000		
시공·출력	LG조명용컷팅부착	1220mm	0-0-0017	1	1	32000		
시공·출력	패트배너-출력	78*108	G001	1	2	31000	석방위	
시공·출력	HL조명용시트(부착)	1220mm	0-0-0017	1	1	31000		
시공·출력	솔벤현수막-출력	336*80	G007	1	1	30300	동백밀면	
자재·상품	솔벤시트+돔보	1560x1210mm	0-0-0019	1	1	30000	태양당약국	
자재·상품	까치발	1100mm	0-0-0043	2	4	30000		
자재·상품	RGB컨트롤러(단채널)		D919	1	1	30000		
시공·출력	솔벤출력	116*254	G016	1	1	29500	시트) 안동	
자재·상품	까치발	1500mm	0-0-0047	1	3	28500		
시공·출력	종이도안		0-0-0068	3	4	28000		
시공·출력	현수막 출력	254*227	G002	1	1	27000	여름성경학교	
